Title,Text,Date,Rating
Art deco architecture beautifully restored,"This is a must see for anyone interested in art deco architecture. Old buildings beautifully restored. So much to see in such a small area, and within easy walking distance of the old town, parkland, art gallery, etc. A few excellent cafes / restaurants along an easy walking tour.",Jul 2018 • Couples,5.0 of 5 bubbles
Nice art architecture,I didn’t expected too much but wowThe streets were really beautiful and amazing buildings around.Definitely worth to stop by.,Aug 2018,5.0 of 5 bubbles
The Heart of Art Nouveau in Riga,"Just and ordinary street in Riga. But blessed with the most exquisite and varied Art Nouveau architecture, replete witf naked heroines, peacocks, medusas, snakes and dragons. Just keep gazing as you notice more and more fascinating decorative details. No 2a, No 4 and No 13 are highlights. Make sure you also look at the Art Nouveau Museum as well for an impression of the contemporary interiors.",Aug 2018 • Couples,5.0 of 5 bubbles
Art noveau,"Alberta and Strelnieku Iela are a tremendous block of amazing Art Noveau house. Some fully restored, some not yet. If you have any interesting in Architecture do visit",Jul 2018,5.0 of 5 bubbles
Superb,"Alberta street and Elizabetes  street are a short walk from the old town, and they are home to the most beautiful  Art Deco houses in Riga. They offer a great photo opportunity and best of all its all free.",Jul 2018 • Couples,4.0 of 5 bubbles
Great street,"The art nouveau street. I loved the buildings, we also went there with the free walking tour, so we learned some additional information about the street and architects.",Jul 2018 • Friends,4.0 of 5 bubbles
Must see,"Alberta iela, along with Elisabetes iela, is one of the key Art Nouveau/Jugendstill style places in Riga. You just have to go and enjoy the nice buildings that will appear. These buildings are quite surprising and original since their nice decoration is striking and awesome. You can reach this street very easy from the city center",Jun 2018 • Business,5.0 of 5 bubbles
Well Worth the Time to Take a Walk on Alberta and explore nearby Elizabete Streets,"Riga has numerous historic  beautiful and varied unique Art Noveau/Jugendstil buildings which are amazing to discover and behold .  Depending on time constraints, guided tour options might be best.. I personally found I preferred to wander and explore  these building facades on my own, so I could spend as much or little time as I wanted  looking AND enjoying this free curb-side attraction. I first purchased an expensive paperback  photo book  (in English)  about Riga's Jugendstil Architecture . It featured photos of many of the beautiful distinctive buildings and listed street locations. Checking a map, I found many of these  streets were near/adjacent to Alberta iela . Some are impressively ornate. Because they have been cleaned and restored, are a joy to photograph.",Jul 2018 • Solo,5.0 of 5 bubbles
astonishing,The street with Art Nouveau buildings is exceptional. I never saw saw so any statues . Each floor is different . don't miss it when in Riga,Jul 2018 • Friends,5.0 of 5 bubbles
Home of art nouveau,Nearly all of the buildings on this street were built in Art Nouveau style.  Download a map from the Art Nouveau Museum website and you can read descriptions of these beautiful buildings.,Jul 2018 • Solo,5.0 of 5 bubbles
Flamboyant Art Nouveau architecture,"One of the 2 streets outside the Old town of Riga you should see. A short walk from the Old Town, this street has, on one side, a series of flamboyant and expressive art nouveau buildings. They are mostly by the same architect, Eisenstein, but are all very different. Most have been very nicely renovated, and one is being renovated. At the corner is the Art Nouveau museum, pretty well hidden, and the entrance is from Strelnieku street (and you need to be buzzed in, the code is 12). The museum is a renovated art nouveau apartment, and the building has a fantastic staircase.",Jun 2018 • Couples,5.0 of 5 bubbles
